Lambda1,Lambda2,Lambda3
-0.4113225831764007,2.295521593901033,3.199389413031695
-0.45024201630540794,2.309163150359391,3.142022082901016
-0.4875702103719344,2.316804989993259,3.0869277617458577
-0.5230551694699241,2.318161156037657,3.0348857205776003
-0.5564793154324809,2.313160523291714,2.9865369076835653
-0.5876543406541268,2.3020037034054006,2.9423143994014653
-0.6164164622853449,2.2852011440034867,2.9023923624547576
-0.6426221082745045,2.2635664673106497,2.866679598550083
-0.6661440684239786,2.2381538244565644,2.8348690252663253
-0.6868681590094142,2.210154089241961,2.806528425042745
-0.7046904714227348,2.1807825378954826,2.781200001905045
-0.7195152985806101,2.15118791919205,2.758479058190985
-0.7312538525759732,2.1223962501605667,2.738058697974565
-0.7398238982361265,2.095286858830257,2.7197432926735585
-0.745150424868604,2.0705907603306883,2.7034408790714184
-0.7471674579349767,2.048901247506675,2.689144844702562
-0.7458210702306268,2.0306895068674335,2.6769122819107602
-0.7410735868176177,2.0163212117334983,2.666843181766578
-0.7329088904902606,2.006072285310692,2.6590623050410276
-0.7213386289150642,2.0001432977258093,2.653704182979607
-0.7064090076265149,1.998672530737774,2.6509010046986488
-0.6882077341004308,2.001747887576158,2.6507728743804786
-0.666870568395274,2.009417739171539,2.6534198854226183
-0.642586848000159,2.0217006056246554,2.658915549414808
-0.6156033023978543,2.0385933523092414,2.667301270103248
-0.5862254713776901,2.060077391083118,2.678581723925454
-0.5548161058974594,2.0861222671836703,2.6927211665701485
-0.5217900758770369,2.116686023591356,2.7096408020644787
-0.48760554556356533,2.151711897259461,2.7292174069109096
-0.4527515030128857,2.1911212236667637,2.7512833879748015
-0.41773212631536705,2.2348028823922608,2.7756283752040667
-0.3830488915232435,2.282600142566782,2.8020023294331122
-0.34918170748736804,2.334296265058551,2.8301200114751124
-0.3165706186849829,2.3896005751559044,2.8596665423209666
-0.28559967381087203,2.448136837540515,2.890303708742268
-0.256584375050346,2.5094355941225603,2.921676644163585
-0.22976371572065574,2.5729316833584606,2.953420538164324
-0.20529725635893278,2.6379675339698863,2.9851670865861712
-0.18326709486075216,2.703802147003396,3.0165504711439413
-0.16368407273450317,2.7696250815389916,3.047212736960586
-0.1464972133385343,2.83457433901232,3.0768085071300697
-0.13160524317624903,2.897756839423218,3.1050090290184156
-0.11886908593492154,2.958270183394297,3.1315055858390233
-0.10812438798187568,3.015224542742193,3.156012330473092
-0.09919336875641235,3.0677637511888793,3.178268609538902
-0.09189553281646531,3.115084915483764,3.198040847767439
-0.0860569931271142,3.156456093214756,3.21512405894864
-0.08151831806892583,3.1912317648867337,3.2293430425750813
-0.0781409238396376,3.218865958731905,3.2405533166267646
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07400000000000007,3.255161450207811,3.2551614502078112
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.5882026765996656,2.5059346139681558,2.9777078325939113
-0.5769181779832531,2.495254136433375,2.98484579465524
-0.5616132682222649,2.481702702194001,2.993882916015126
-0.5427572155980456,2.466342790961827,3.0041769547489414
-0.5209183188270089,2.450210227474084,3.0151961651281893
-0.49673700871996085,2.4342165233149253,3.026589232830001
-0.4708931124847049,2.4190827033854565,3.0382177707738087
-0.44406844468984835,2.4052916060845684,3.050165587845862
-0.4169068807665601,2.3930520560775266,3.0627335296325926
-0.389975107360263,2.3822765530041767,3.076421488141179
-0.36372802453226827,2.372580536646013,3.0918935438904342
-0.33848295275263934,2.3633139267562235,3.1099197458078436
-0.31440613104350845,2.3536325706893235,3.1312904335078304
-0.2915134922671017,2.3426073280979196,3.156707409508561
-0.2696856878062732,2.3293540765916765,3.1866686988617845
-0.24869533822442905,2.3131562590004107,3.2213732983781784
-0.22824303258173695,2.2935514531804326,3.260670999397494
-0.2079979873291512,2.270366994500091,3.304068201988925
-0.1876394923549319,2.243708876599078,3.3507816535411754
-0.16689605271325575,2.2139214711098734,3.399819503530791
-0.14558011636304846,2.18153780671639,3.4500678405413607
-0.12361713895873488,2.1472343017327837,3.5003675760199195
-0.10106826890400411,2.111795943719493,3.5495749630837654
-0.07814605279731235,2.0760918395335843,3.5966052163610045
-0.055222273855065285,2.041057667323836,3.6404617936343993
-0.032826440464563456,2.0076801090293337,3.680254748001943
-0.011632745292554536,1.9769779377545522,3.7152112573147864
0.007567111391934334,1.9499746875942794,3.744680748613149
0.02390742995418682,1.9276589269879398,3.768136343785141
0.036508642577997324,1.9109306077764323,3.785173798093079
0.0445505941366834,1.9005361178815436,3.7955087050875242
0.04735042561071667,1.8969999999999998,3.7989724748049034
0.04443204312575266,1.9005659326869881,3.7955074230456622
0.03557305543328922,1.911160768137217,3.785161208192841
0.02081918150238042,1.9283913558298509,3.768080796016891
0.0004645217378270658,1.951575514965314,3.744506106416603
-0.02499496716441438,1.97979958061093,3.714763488151945
-0.05492201151319888,2.0119895055462984,3.6792591704476343
-0.08859953233137575,2.0469822370198765,3.6384728472099317
-0.12528373384885838,2.0835877354375865,3.5929515530031164
-0.16424428721542292,2.1206369337044126,3.5433039788499263
-0.20479119123117517,2.1570150513681807,3.4901953317856123
-0.2462902709295284,2.1916821752293174,3.434342732832902
-0.288170135862333,2.223684117289498,3.3765109202535566
-0.32992332314224415,2.2521569032789777,3.317507597181784
-0.3711038243905157,2.2763284620335957,3.2581770320884367
-0.4113225831764007,2.295521593901033,3.199389413031695
-0.45024201630540794,2.309163150359391,3.142022082901016
-0.4875702103719344,2.316804989993259,3.0869277617458577
-0.5230551694699241,2.318161156037657,3.0348857205776003
-0.5564793154324809,2.313160523291714,2.9865369076835653
-0.5876543406541268,2.3020037034054006,2.9423143994014653
-0.6164164622853449,2.2852011440034867,2.9023923624547576
-0.6426221082745045,2.2635664673106497,2.866679598550083
-0.6661440684239786,2.2381538244565644,2.8348690252663253
-0.6868681590094141,2.210154089241961,2.8065284250427442
-0.7046904714227348,2.1807825378954826,2.781200001905045
-0.7195152985806101,2.15118791919205,2.758479058190985
-0.7312538525759732,2.1223962501605667,2.738058697974565
-0.7398238982361265,2.095286858830257,2.7197432926735585
-0.745150424868604,2.0705907603306883,2.7034408790714184
-0.7471674579349767,2.048901247506675,2.689144844702562
-0.7458210702306268,2.0306895068674335,2.6769122819107602
-0.7410735868176177,2.0163212117334983,2.666843181766578
-0.7329088904902606,2.006072285310692,2.6590623050410276
-0.7213386289150642,2.0001432977258093,2.653704182979607
-0.7064090076265149,1.998672530737774,2.6509010046986488
-0.6882077341004308,2.001747887576158,2.6507728743804786
-0.666870568395274,2.009417739171539,2.6534198854226183
-0.642586848000159,2.0217006056246554,2.658915549414808
-0.6156033023978543,2.0385933523092414,2.667301270103248
-0.5862254713776901,2.060077391083118,2.678581723925454
-0.55481610589746,2.08612226718367,2.69272116657015
-0.5217900758770369,2.116686023591356,2.7096408020644787
-0.48760554556356533,2.151711897259461,2.7292174069109096
-0.4527515030128857,2.1911212236667637,2.7512833879748015
-0.41773212631536705,2.2348028823922608,2.7756283752040667
-0.3830488915232435,2.282600142566782,2.8020023294331122
-0.34918170748736804,2.334296265058551,2.8301200114751124
-0.3165706186849829,2.3896005751559044,2.8596665423209666
-0.28559967381087203,2.448136837540515,2.890303708742268
-0.256584375050346,2.5094355941225603,2.921676644163585
-0.22976371572065574,2.5729316833584606,2.953420538164324
-0.20529725635893278,2.6379675339698863,2.9851670865861712
-0.18326709486075216,2.703802147003396,3.0165504711439413
-0.16368407273450317,2.7696250815389916,3.047212736960586
-0.1464972133385343,2.83457433901232,3.0768085071300697
-0.13160524317624903,2.897756839423218,3.1050090290184156
-0.11886908593492154,2.958270183394297,3.1315055858390233
-0.10812438798187568,3.015224542742193,3.156012330473092
-0.09919336875641235,3.0677637511888793,3.178268609538902
-0.09189553281646531,3.115084915483764,3.198040847767439
-0.0860569931271142,3.156456093214756,3.21512405894864
-0.08151831806892583,3.1912317648867337,3.2293430425750813
-0.0781409238396376,3.218865958731905,3.2405533166267646
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07400000000000007,3.255161450207811,3.2551614502078112
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.5769181779832531,2.495254136433375,2.98484579465524
-0.5616132682222649,2.481702702194001,2.993882916015126
-0.5427572155980456,2.466342790961827,3.0041769547489414
-0.5209183188270089,2.450210227474084,3.0151961651281893
-0.49673700871996085,2.4342165233149253,3.026589232830001
-0.4708931124847049,2.4190827033854565,3.0382177707738087
-0.44406844468984835,2.4052916060845684,3.050165587845862
-0.4169068807665601,2.3930520560775266,3.0627335296325926
-0.3899751073602617,2.3822765530041776,3.076421488141179
-0.36372802453226827,2.372580536646013,3.0918935438904342
-0.33848295275263934,2.3633139267562235,3.1099197458078436
-0.31440613104350845,2.3536325706893235,3.1312904335078304
-0.2915134922671017,2.3426073280979196,3.156707409508561
-0.2696856878062732,2.3293540765916765,3.1866686988617845
-0.24869533822442935,2.3131562590004107,3.2213732983781784
-0.2282430325817361,2.293551453180432,3.2606709993974947
-0.2079979873291512,2.270366994500091,3.304068201988925
-0.18763949235493213,2.2437088765990776,3.350781653541176
-0.16689605271325575,2.2139214711098734,3.399819503530791
-0.14558011636304846,2.18153780671639,3.4500678405413607
-0.12361713895873488,2.1472343017327837,3.5003675760199195
-0.10106826890400411,2.111795943719493,3.5495749630837654
-0.07814605279731235,2.0760918395335843,3.5966052163610045
-0.055222273855065285,2.041057667323836,3.6404617936343993
-0.032826440464563456,2.0076801090293337,3.680254748001943
-0.011632745292554536,1.9769779377545522,3.7152112573147864
0.007567111391934334,1.9499746875942794,3.744680748613149
0.02390742995418682,1.9276589269879398,3.768136343785141
0.036508642577997324,1.9109306077764323,3.785173798093079
0.0445505941366834,1.9005361178815436,3.7955087050875242
0.04735042561071667,1.8969999999999998,3.7989724748049034
0.04443204312575266,1.9005659326869881,3.7955074230456622
0.03557305543328922,1.911160768137217,3.785161208192841
0.02081918150238042,1.9283913558298509,3.768080796016891
0.0004645217378270658,1.951575514965314,3.744506106416603
-0.02499496716441438,1.97979958061093,3.714763488151945
-0.05492201151319888,2.0119895055462984,3.6792591704476343
-0.08859953233137575,2.0469822370198765,3.6384728472099317
-0.12528373384885838,2.0835877354375865,3.5929515530031164
-0.16424428721542292,2.1206369337044126,3.5433039788499263
-0.20479119123117517,2.1570150513681807,3.4901953317856123
-0.2462902709295284,2.1916821752293174,3.434342732832902
-0.288170135862333,2.223684117289498,3.3765109202535566
-0.32992332314224415,2.2521569032789777,3.317507597181784
-0.3711038243905157,2.2763284620335957,3.2581770320884367
-0.4113225831764007,2.295521593901033,3.199389413031695
-0.45024201630540794,2.309163150359391,3.142022082901016
-0.4875702103719344,2.316804989993259,3.0869277617458577
-0.5230551694699241,2.318161156037657,3.0348857205776003
-0.5564793154324809,2.313160523291714,2.9865369076835653
-0.5876543406541268,2.3020037034054006,2.9423143994014653
-0.6164164622853449,2.2852011440034867,2.9023923624547576
-0.6426221082745045,2.2635664673106497,2.866679598550083
-0.6661440684239786,2.2381538244565644,2.8348690252663253
-0.6868681590094141,2.210154089241961,2.8065284250427442
-0.704690471422735,2.1807825378954835,2.7812000019050442
-0.7195152985806101,2.15118791919205,2.758479058190985
-0.7312538525759732,2.1223962501605667,2.738058697974565
-0.7398238982361265,2.095286858830257,2.7197432926735585
-0.745150424868604,2.0705907603306883,2.7034408790714184
-0.7471674579349767,2.048901247506675,2.689144844702562
-0.7458210702306268,2.0306895068674335,2.6769122819107602
-0.7410735868176177,2.0163212117334983,2.666843181766578
-0.7329088904902606,2.006072285310692,2.6590623050410276
-0.7213386289150642,2.0001432977258093,2.653704182979607
-0.7064090076265149,1.998672530737774,2.6509010046986488
-0.6882077341004308,2.001747887576158,2.6507728743804786
-0.666870568395274,2.009417739171539,2.6534198854226183
-0.642586848000159,2.0217006056246554,2.658915549414808
-0.6156033023978543,2.0385933523092414,2.667301270103248
-0.5862254713776901,2.060077391083118,2.678581723925454
-0.55481610589746,2.08612226718367,2.69272116657015
-0.5217900758770367,2.116686023591356,2.709640802064479
-0.48760554556356533,2.151711897259461,2.7292174069109096
-0.4527515030128857,2.1911212236667637,2.7512833879748015
-0.41773212631536705,2.2348028823922608,2.7756283752040667
-0.3830488915232435,2.282600142566782,2.8020023294331122
-0.34918170748736804,2.334296265058551,2.8301200114751124
-0.3165706186849829,2.3896005751559044,2.8596665423209666
-0.28559967381087203,2.448136837540515,2.890303708742268
-0.256584375050346,2.5094355941225603,2.921676644163585
-0.22976371572065574,2.5729316833584606,2.953420538164324
-0.20529725635893278,2.6379675339698863,2.9851670865861712
-0.18326709486075216,2.703802147003396,3.0165504711439413
-0.16368407273450317,2.7696250815389916,3.047212736960586
-0.1464972133385343,2.83457433901232,3.0768085071300697
-0.13160524317624903,2.897756839423218,3.1050090290184156
-0.11886908593492154,2.958270183394297,3.1315055858390233
-0.10812438798187568,3.015224542742193,3.156012330473092
-0.09919336875641235,3.0677637511888793,3.178268609538902
-0.09189553281646531,3.115084915483764,3.198040847767439
-0.0860569931271142,3.156456093214756,3.21512405894864
-0.08151831806892583,3.1912317648867337,3.2293430425750813
-0.0781409238396376,3.218865958731905,3.2405533166267646
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07400000000000007,3.255161450207811,3.2551614502078112
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.07814092383963767,3.2188659587319055,3.2405533166267633
-0.5616132682222649,2.481702702194001,2.993882916015126
-0.5427572155980456,2.466342790961827,3.0041769547489414
-0.5209183188270089,2.450210227474084,3.0151961651281893
-0.49673700871996085,2.4342165233149253,3.026589232830001
-0.4708931124847049,2.4190827033854565,3.0382177707738087
-0.44406844468984835,2.4052916060845684,3.050165587845862
-0.4169068807665601,2.3930520560775266,3.0627335296325926
-0.3899751073602617,2.3822765530041776,3.076421488141179
-0.36372802453226827,2.372580536646013,3.0918935438904342
-0.33848295275263934,2.3633139267562235,3.1099197458078436
-0.31440613104350845,2.3536325706893235,3.1312904335078304
-0.2915134922671017,2.3426073280979196,3.156707409508561
-0.2696856878062732,2.3293540765916765,3.1866686988617845
-0.24869533822442905,2.3131562590004107,3.2213732983781784
-0.2282430325817361,2.293551453180432,3.2606709993974947
-0.2079979873291512,2.270366994500091,3.304068201988925
-0.18763949235493213,2.2437088765990776,3.350781653541176
-0.16689605271325575,2.2139214711098734,3.399819503530791
-0.14558011636304846,2.18153780671639,3.4500678405413607
-0.12361713895873488,2.1472343017327837,3.5003675760199195
-0.10106826890400411,2.111795943719493,3.5495749630837654
-0.07814605279731235,2.0760918395335843,3.5966052163610045
-0.055222273855065285,2.041057667323836,3.6404617936343993
-0.032826440464563456,2.0076801090293337,3.680254748001943
-0.011632745292554536,1.9769779377545522,3.7152112573147864
0.007567111391934334,1.9499746875942794,3.744680748613149
0.02390742995418682,1.9276589269879398,3.768136343785141
0.036508642577997324,1.9109306077764323,3.785173798093079
0.0445505941366834,1.9005361178815436,3.7955087050875242
0.04735042561071667,1.8969999999999998,3.7989724748049034
0.04443204312575266,1.9005659326869881,3.7955074230456622
0.03557305543328922,1.911160768137217,3.785161208192841
0.02081918150238042,1.9283913558298509,3.768080796016891
0.0004645217378270658,1.951575514965314,3.744506106416603
-0.02499496716441438,1.97979958061093,3.714763488151945
-0.05492201151319888,2.0119895055462984,3.6792591704476343
-0.08859953233137575,2.0469822370198765,3.6384728472099317
-0.12528373384885838,2.0835877354375865,3.5929515530031164
-0.16424428721542317,2.120636933704413,3.543303978849926
-0.20479119123117517,2.1570150513681807,3.4901953317856123
-0.2462902709295284,2.1916821752293174,3.434342732832902
-0.288170135862333,2.223684117289498,3.3765109202535566
-0.32992332314224415,2.2521569032789777,3.317507597181784
-0.3711038243905157,2.2763284620335957,3.2581770320884367
-0.4113225831764007,2.295521593901033,3.199389413031695
-0.45024201630540794,2.309163150359391,3.142022082901016
-0.4875702103719344,2.316804989993259,3.0869277617458577
-0.5230551694699241,2.318161156037657,3.0348857205776003
-0.5564793154324809,2.313160523291714,2.9865369076835653
-0.5876543406541268,2.3020037034054006,2.9423143994014653
-0.6164164622853449,2.2852011440034867,2.9023923624547576
-0.6426221082745045,2.2635664673106497,2.866679598550083
-0.6661440684239786,2.2381538244565644,2.8348690252663253
-0.6868681590094141,2.210154089241961,2.8065284250427442
-0.704690471422735,2.1807825378954835,2.7812000019050442
-0.7195152985806101,2.15118791919205,2.758479058190985
-0.7312538525759732,2.1223962501605667,2.738058697974565
-0.7398238982361265,2.095286858830257,2.7197432926735585
-0.745150424868604,2.0705907603306883,2.7034408790714184
-0.7471674579349767,2.048901247506675,2.689144844702562
-0.7458210702306268,2.0306895068674335,2.6769122819107602
-0.7410735868176177,2.0163212117334983,2.666843181766578
-0.7329088904902606,2.006072285310692,2.6590623050410276
-0.7213386289150642,2.0001432977258093,2.653704182979607
-0.7064090076265149,1.998672530737774,2.6509010046986488
-0.6882077341004308,2.001747887576158,2.6507728743804786
-0.666870568395274,2.009417739171539,2.6534198854226183
-0.642586848000159,2.0217006056246554,2.658915549414808
-0.6156033023978543,2.0385933523092414,2.667301270103248
-0.5862254713776901,2.060077391083118,2.678581723925454
-0.55481610589746,2.08612226718367,2.69272116657015
-0.5217900758770367,2.116686023591356,2.709640802064479
-0.4876055455635652,2.1517118972594607,2.7292174069109087
-0.4527515030128857,2.1911212236667637,2.7512833879748015
-0.41773212631536705,2.2348028823922608,2.7756283752040667
-0.3830488915232435,2.282600142566782,2.8020023294331122
-0.34918170748736804,2.334296265058551,2.8301200114751124
-0.3165706186849829,2.3896005751559044,2.8596665423209666
-0.28559967381087203,2.448136837540515,2.890303708742268
-0.256584375050346,2.5094355941225603,2.921676644163585
-0.22976371572065574,2.5729316833584606,2.953420538164324
-0.20529725635893278,2.6379675339698863,2.9851670865861712
-0.18326709486075216,2.703802147003396,3.0165504711439413
-0.16368407273450317,2.7696250815389916,3.047212736960586
-0.1464972133385343,2.83457433901232,3.0768085071300697
-0.13160524317624903,2.897756839423218,3.1050090290184156
-0.11886908593492154,2.958270183394297,3.1315055858390233
-0.10812438798187568,3.015224542742193,3.156012330473092
-0.09919336875641235,3.0677637511888793,3.178268609538902
-0.09189553281646531,3.115084915483764,3.198040847767439
-0.0860569931271142,3.156456093214756,3.21512405894864
-0.08151831806892583,3.1912317648867337,3.2293430425750813
-0.0781409238396376,3.218865958731905,3.2405533166267646
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07400000000000007,3.255161450207811,3.2551614502078112
-0.07444874316437976,3.251085679806229,3.253527472333551
-0.07581209540108522,3.23892297182337,3.24864182787823
-0.07814092383963767,3.2188659587319055,3.2405533166267633
-0.08151831806892583,3.1912317648867337,3.2293430425750813
-0.5427572155980456,2.466342790961827,3.0041769547489414
-0.5209183188270089,2.450210227474084,3.0151961651281893
-0.49673700871996085,2.4342165233149253,3.026589232830001
-0.4708931124847049,2.4190827033854565,3.0382177707738087
-0.44406844468984835,2.4052916060845684,3.050165587845862
-0.4169068807665601,2.3930520560775266,3.0627335296325926
-0.3899751073602617,2.3822765530041776,3.076421488141179
-0.36372802453226827,2.372580536646013,3.0918935438904342
-0.33848295275263934,2.3633139267562235,3.1099197458078436
-0.31440613104350845,2.3536325706893235,3.1312904335078304
-0.2915134922671017,2.3426073280979196,3.156707409508561
-0.2696856878062732,2.3293540765916765,3.1866686988617845
-0.24869533822442905,2.3131562590004107,3.2213732983781784
-0.22824303258173695,2.2935514531804326,3.260670999397494
-0.2079979873291512,2.270366994500091,3.304068201988925
-0.18763949235493213,2.2437088765990776,3.350781653541176
-0.16689605271325575,2.2139214711098734,3.399819503530791
